"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Accredited","Yes (Dec 2019)","0","104","","104","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.8%","44.9%","30.3%","3.0%","49.2%","Info not available","20.3%","","","","","","","","West Kelowna, BC V4T 2N7","","0","","0","Resident Care Coordinator","Separate and Combined Resident and Family Councils","English, French, Filipino, Hungarian, German, Spanish, Russian","","14 Oct 2016","Brookhaven Care Centre","Yes","Outside Contractor","0.36","2.84","Interior Health","1.0","1.9","2","1.5","1.9","2","0.7","0.0","0","11.9","11.5","12","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","7.7","8","","Regular Schedule","1995","Interior Health","Yes","(250) 862-4040","(250) 862-4040","","Monitoring","Hospital Act","Info not available","Info not available","Info not available"," ","No","No","No","1775 Shannon Lake Rd","3.20","Yes (no fee)"
"Commendation","Yes (2018)","14","89","","103","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.1%","50.2%","3.4%","4.8%","54.9%","13.8%","29.9%","","","","","","","","Surrey, BC V3S 6K5","","1","","0","General Manager","Separate and Combined Resident and Family Councils","English, Spanish, Hindi, Cantonese, Punjabi, Filipino , Hungarian","","16 May 2016","Brookside Lodge","Yes","Operator","0.23","2.66","Fraser Health","1.0","1.0","1","1.5","0.0","0","0.7","0.0","0","11.9","12.6","13","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2009","Baybridge - Baltic Group (Brookside)","Yes","(604) 530-6595","(604) 530-6595 ext 101","","Routine","Community Care and Assisted Living Act","0","93","5"," ","No","Yes","No","19550 Fraser Highway","2.89","Yes (no fee)"
"Commendation","Yes (June 2019)","0","112","","112","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","15.3%","25.7%","2.8%","15.5%","7.6%","7.1%","19.9%","","","","","","","","New Westminster, BC V3L 4A4","","0","","0","Sara Leibl","Separate Resident and Family","English, Mandarin, Cantonese, Hindi, Persian, Hebrew, Italian","","19 Oct 2016","Buchanan Lodge","Yes","Operator","0.35","2.71","Fraser Health","1.0","1.8","2","1.5","1.8","2","0.7","0.0","0","11.9","7.1","8","0.1","0.0","0","0.2","0.0","0","1.6","0.9","1","1.6","2.7","3","","Regular Schedule","Info not available","Salvation Army","Yes","(604) 522-7033","(604) 517-4125","","Routine","Community Care and Assisted Living Act","0","104","4"," ","No","Yes","No","409 Blair Ave","3.06","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","70","","70","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","18.8%","38.4%","21.9%","1.9%","82.6%","23.0%","49.2%","","","","","","","","Smithers, BC V0J 2N0","","0","","0","Clinical Practise Lead / Residential Care Manager","Separate and Combined Resident and Family Councils","English, Dutch, Polish","","26 Sep 2016","Bulkley Lodge","Yes","Operator","0.14","3.09","Northern Health","1.0","0.0","0","1.5","1.4","1","0.7","0.0","0","11.9","7.1","5","0.1","0.0","0","0.2","1.4","1","1.6","1.4","1","1.6","0.0","0","","Regular Schedule","1978","Northern Health","No","(250) 847-4443","(250) 876-4543 / (250) 876-4548","","Follow-up","Community Care and Assisted Living Act","0","67","3"," ","No","No","No","3668 11th Avenue","3.39","Yes (no fee)"
"Accredited","Yes (Apr 2017)","0","100","","100","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.5%","56.9%","28.1%","26.6%","Info not available","3.6%","28.1%","","","","","","","","Duncan, BC V9L 4H2","Info not available","","Info not available","","Manager","Combined Resident and Family","English, Punjabi","13 Apr 2016","","Cairnsmore Place","No","Operator","0.36","2.83","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","1","Scheduled as needed","1965","Vancouver Island Health","Yes","(250) 709-3080","(250) 709-3080","Follow-up","","Hospital Act","21","8","4","Clothing labelling fee","Yes","No","No","250 Cairnsmore Street","3.19","Yes (no fee)"
"Commendation","Yes (Sep 2017)","0","205","","205","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","45.2%","48.7%","Info not available","1.3%","28.2%","Info not available","12.1%","","","","","","","","West Vancouver, BC V7T 1C4","","2","","1","Director of Care","Separate Resident and Family","Farsi, Russian, Arabic, Cantonese, Mandarin, Hindi, German, Cree, Korean, Asmily, Filipino, French","","11 Apr 2016","Capilano Care Centre","Yes","Operator","0.23","2.50","Vancouver Coastal","1.0","0.5","1","1.5","11.2","23","0.7","0.0","0","11.9","28.3","58","0.1","0.0","0","0.2","0.0","0","1.6","2.9","6","1.6","2.4","5","","Regular Schedule","1992","Revera Long Term Care","Yes","(604) 926-6856","(604) 926-6856 ext 337","","Routine","Hospital Act and Community Care and Assisted Living Act","11","76","48"," ","No","Yes","No","525 Clyde Avenue","2.73","Yes (no fee)"
"Accredited","Yes (Oct 2018)","0","191","","191","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.9%","37.1%","26.5%","28.2%","44.0%","19.5%","29.8%","","","","","","","","Surrey, BC V4N 5T5","","0","","0","Resident Care Coordinator / Manager","Resident only","English, Hindi, Punjabi, Filipino, Urdu, Polish, French, German, Mandarin, Romanian, Cantonese, Greek","","28 Sep 2016","CareLife Fleetwood","Primarily","Outside Contractor","0.42","3.76","Fraser Health","1.0","0.5","1","1.5","2.6","5","0.7","0.0","0","11.9","6.3","12","0.1","0.0","0","0.2","0.0","0","1.6","4.2","8","1.6","0.5","1","","Regular Schedule","2008","Fraser Health","Yes","(604) 598-7200","(604) 598-7200","","Routine","Hospital Act","0","167","12"," ","No","No","No","8265 159th Street","4.18","Yes (no fee)"
"Accredited","Yes (2018)","11","117","","128","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","18.2%","47.4%","1.0%","7.5%","8.0%","4.0%","15.5%","","","","","","","","Burnaby, BC V5G 0B4","","0","","0","General Manager","Separate and Combined Resident and Family Councils","French, Amaharic, Cantonese, Croatian, Italian, Japanese, Korean, Punjabi, Spanish, Tagalog, Vietnamese, English","","26 Jul 2016","Carlton Gardens Care Centre","Yes","Outside Contractor","0.29","2.53","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","7.8","10","0.1","0.0","0","0.2","0.0","0","1.6","0.8","1","1.6","1.6","2","","Scheduled as needed","2012","Chartwell REIT","Yes","(604) 419-3000","(604) 419-3007","","Routine","Community Care and Assisted Living Act","0","120","4","Specialty products","No","No","No","4108 Norfolk Street","2.82","Yes (no fee)"
"Accredited","Yes (2018)","0","78","","78","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","32.1%","47.9%","Info not available","21.7%","47.0%","10.5%","27.6%","","","","","","","","Coquitlam, BC V3K 2C6","","2","","0","Site Leader / Director of Care","Separate and Combined Resident and Family Councils","English, Tagalog, Cantonese, Mandarin, Hindi, Punjabi","","27 May 2016","Cartier House","Yes","Operator and Outside Contractor","0.29","2.34","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","12.8","10","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Park Place Seniors Living Inc.","Yes","(604) 939-4654","(604) 939-4654","","Routine","Community Care and Assisted Living Act","0","30","24"," ","No","No","No","1419 Cartier St","2.63","Yes (no fee)"
"Commendation","Yes (2018)","24","95","","119","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.2%","56.4%","Info not available","0.5%","1.5%","4.3%","22.9%","","","","","","","","Chilliwack, BC V2P 7W8","","0","","0","Cheryl Dawes, Manager / General Manager","Separate and Combined Resident and Family Councils","English, Dutch","","17 Aug 2016","Cascade Lodge","Yes","Operator","0.32","2.50","Fraser Health","1.0","0.0","0","1.5","0.8","1","0.7","0.0","0","11.9","5.9","7","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","2.5","3","","Regular Schedule","2006","BayBridge - Baltic Inc.","No","(604) 795-2500","(604) 795-7297 / (604) 795-2500","","Routine","Community Care and Assisted Living Act","0","101","9"," ","No","No","No","45586 Mcintosh Drive","2.81","Yes (no fee)"
"Commendation","Yes (Apr 2018)","16","45","","61","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","30.1%","42.8%","Info not available","84.7%","Info not available","Info not available","12.1%","","","","","","","","Castlegar, BC V1N 4A6","","0","","0","Administrator","Combined Resident and Family","English, Russian","","04 Feb 2016","Castleview Care Centre","Yes","Operator","0.35","2.80","Interior Health","1.0","1.6","1","1.5","1.6","1","0.7","0.0","0","11.9","11.5","7","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.6","1","","Regular Schedule","1991","Chantelle Management Ltd","Yes","(250) 365-7277","(250) 365-7277","","Monitoring","Community Care and Assisted Living Act","0","61","0","Clothing labelling fee","No","No","No","2300 14th Ave.","3.15","Yes (no fee)"
"Accredited","Yes (2020)","0","89","","89","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","19.6%","57.3%","4.9%","35.1%","61.3%","10.5%","25.7%","","","","","","","","North Vancouver, BC V7J 3P3","","Info not available","","Info not available","Site Manager","Separate Resident and Family","English, Farsi, Tagalog, Korean, Polish, Japanese, Russian, Cantonese, Mandarin","","26 Mar 2013","Cedarview Lodge","Yes","Operator and Outside Contractor","0.25","2.74","Vancouver Coastal","1.0","0.0","0","1.5","2.2","2","0.7","0.0","0","11.9","2.2","2","0.1","0.0","0","0.2","0.0","0","1.6","1.1","1","1.6","0.0","0","","Regular Schedule","1982","Vancouver Coastal Health","Yes","(604) 904-6400","(604) 904-6404","","Routine","Community Care and Assisted Living Act","0","89","0"," ","No","Yes","No","1200 Cedar Village Close","2.99","Yes (no fee)"
"N/A","No","0","100","","100","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","38.9%","56.2%","8.6%","21.5%","6.1%","19.6%","26.5%","","","","","","","","Vancouver, BC V6B 1V2","","1","","0","Director of Operations","Resident only","English, French, Spanish, Farsi, Hindi, Japanese, Korean, Mandarin, Cantonese, Vietnamese, Tagalog, Punjabi, Greek","","23 Feb 2016","Central City Lodge","Yes","Operator","0.26","2.34","Vancouver Coastal","1.0","0.0","0","1.5","6.0","6","0.7","0.0","0","11.9","9.0","9","0.1","0.0","0","0.2","0.0","0","1.6","7.0","7","1.6","3.0","3","","Regular Schedule","1993","City Centre Care Society","Yes","(604) 681-9111","(604) 639-8230","","Routine","Community Care and Assisted Living Act","0","84","8"," ","No","No","No","415 West Pender St","2.60","Yes (no fee)"
"Info not available","Yes","4","52","","56","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","38.9%","59.0%","6.4%","12.4%","74.0%","20.2%","22.5%","","","","","","","","Duncan, BC V9L 4B8","","1","","1","Info not available","Separate Resident and Family","Info not available","","16 Jun 2016","Cerwydden Care Home","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","1.8","1","1.5","0.0","0","0.7","3.6","2","11.9","16.1","9","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2000","576437 BC Ltd/ Cerwydden Care Centre LLP","Info not available","(250) 746-4432","Info not available","","Complaint","Community Care and Assisted Living Act","0","44","6"," ","No","No","No","3243 Cowichan Lake Rd","3.12","Info not available"
"Accredited","Yes (Jun 2019)","11","57","","68","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","7.3%","28.1%","Info not available","6.2%","82.2%","Info not available","2.5%","","","","","","","","Agassiz, BC V0M 1A3","","0","","0","Team Leader / Director of Care","Separate Resident and Family","English, German, Dutch, Punjabi, Hindi, Tagalog, Japanese, Albanian, Spanish, Italian","","16 Sep 2016","Cheam Village","Yes","Operator","0.26","2.60","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","5.9","4","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2008","Cheam Village Holdings Ltd.","Yes","(604) 796-3886","(604) 796-3886","","Routine","Community Care and Assisted Living Act","0","68","0"," ","No","No","No","1525 MacKay Crescent","2.87","Yes (no fee)"
"Accredited","Yes (2018)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","24.8%","64.7%","2.3%","37.0%","Info not available","1.7%","20.2%","","","","","","","","Chemainus, BC V0R 1K0","Info not available","","Info not available","","Manager","Separate Resident and Family","English, French, Tagalog","23 Aug 2016","","Chemainus Health Care Centre","Yes","Operator","0.36","2.80","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","2","Regular Schedule","1994","Vancouver Island Health","Yes","(250) 737-2040","(250) 737-2040 ext 42231","Follow-up","","Hospital Act","0","55","10","Clothing labelling fee","No","No","No","9909 Esplande Street","3.16","Yes (no fee)"
"Exemplary","Yes (Apr 2017)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","13.6%","48.0%","Info not available","4.6%","23.3%","9.8%","16.1%","","","","","","","","Surrey, BC V3R 2C5","","0","","0","Director of Care","Resident only","Arabic, Cantonese, Czech, French, German, English, Hindi, Mandarin, Punjabi, Spanish, Tagalog, Urdu, Korean","","29 Mar 2016","Cherington Place","Yes","Outside Contractor","0.31","2.47","Fraser Health","1.0","1.3","1","1.5","0.0","N/A","0.7","0.0","0","11.9","8.0","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Cherington Intercare Inc.","No","(604) 581-2885","(604) 581-2885","","Routine","Community Care and Assisted Living Act","0","33","21"," ","No","No","No","13453 111A Ave","2.79","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","7","","7","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","35.4%","43.8%","Info not available","Info not available","6.3%","Info not available","Info not available","","","","","","","","Chetwynd, BC V0C 1J0","","Info not available","","Info not available","Health Service Administrator","No councils","German, English, First Nations languages","","21 Mar 2012","Chetwynd Hospital","No","Contractor","Info not available","Info not available","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","14.3","0","1.6","0.0","0","1.6","0.0","0","","N/A","1971","Northern Health","No","(250) 788-2236","(250) 788-7243","","Routine","Hospital Act","0","7","0"," ","No","No","No","5500 Hospital Road","Info not available","Yes (no fee)"
"Commendation","Yes (2019)","0","80","","80","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","31.6%","70.5%","Info not available","8.8%","10.1%","4.4%","21.0%","","","","","","","","Gibsons, BC V0N 1V8","","1","","0","Site Manager","Separate Resident and Family","English, Tagalog, French, Spanish","","18 May 2016","Christenson Village","Yes","Operator","0.21","2.97","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","7.5","6","0.1","0.0","0","0.2","1.3","1","1.6","0.0","0","1.6","3.8","3","","Regular Schedule","2006","The Good Samaritan Canada Inc.","Yes","(604) 886-8747","(604) 886-8747 ext 21222","","Routine","Community Care and Assisted Living Act","0","80","0"," ","No","No","No","585 Shaw Road","3.18","Yes (no fee)"
"Accredited","Yes (Oct 2018)","0","34","","34","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","23.5%","41.2%","Info not available","15.0%","6.4%","8.8%","9.6%","","","","","","","","Invermere, BC V0A 1K0","","2","","2","Manager","Resident only","English","","19 Jul 2016","Columbia Garden Village","Yes","Operator","0.35","2.80","Interior Health","1.0","8.8","3","1.5","2.9","1","0.7","2.9","1","11.9","17.6","6","0.1","5.9","2","0.2","0.0","0","1.6","14.7","5","1.6","11.8","4","","Regular Schedule","2005","Golden Life Management Corp","Yes","(250) 341-3350","(250) 341-3350","","Monitoring","Community Care and Assisted Living Act","0","34","0"," ","No","No","No","800-10 Ave., Box 578","3.15","Yes (no fee)"
"Accredited","Yes","0","35","","35","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.2%","10.4%","2.6%","34.1%","28.1%","13.8%","11.8%","","","","","","","","Invermere, BC V0A 1K0","","12","","0","Resident Care Coordinator / Site Manager","Separate Resident and Family","English, French, German","","06 Sep 2016","Columbia House – Invermere District Hospital","Yes","Operator","0.36","2.92","Interior Health","1.0","2.9","1","1.5","0.0","0","0.7","0.0","0","11.9","2.9","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1994","Interior Health","Yes","(250) 342-2329","(250) 342-2350","","Monitoring","Community Care and Assisted Living Act","0","35","0","Specialty equipment","Yes","No","No","1030 - 10th Street","3.28","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","76","","76","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","45.7%","70.0%","26.1%","29.2%","90.3%","1.6%","16.2%","","","","","","","","Trail, BC V1R 4N2","","0","","0","Manager / Social Worker","Separate Resident and Family","English, Italian, Filipino, South Asian languages","","17 May 2016","Columbia View Lodge","Yes","Operator","0.30","2.89","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","2.6","2","11.9","5.3","4","0.1","0.0","0","0.2","0.0","0","1.6","1.3","1","1.6","1.3","1","","Regular Schedule","1979","Interior Health","Yes","(250) 364-1271","(250) 364-5356 / (250) 364-5352","","Monitoring","Community Care and Assisted Living Act","0","76","0"," ","No","No","No","2920 Laburnum Dr","3.19","Yes (no fee)"
"N/A","No","0","76","","76","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.1%","39.5%","Info not available","12.7%","75.6%","21.6%","26.3%","","","","","","","","Vancouver, BC V6P 2W3","","1","","0","Director of Care / Director of Food Services and Support Services","Separate Resident and Family","English, Cantonese, Mandarin, Hindi, Korean, Tagalog, French, Spanish, Dutch","","27 Nov 2015","Columbus Residence","Yes","Operator","0.31","2.49","Vancouver Coastal","1.0","0.0","0","1.5","2.6","2","0.7","1.3","1","11.9","2.6","2","0.1","0.0","0","0.2","0.0","0","1.6","6.6","5","1.6","1.3","1","","Regular Schedule","1990","Columbus Long Term Care Society","Yes","(604) 321-4405","(604) 321-4405","","Follow-up","Community Care and Assisted Living Act","0","74","1"," ","No","No","No","704 West 69th Avenue","2.80","No"
"Accredited","Yes (Feb 2018)","16","120","","136","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","26.4%","51.5%","0.4%","11.5%","29.4%","17.3%","35.2%","","","","","","","","Courtenay, BC V9N 7J3","","7","","3","General Manager","Separate Resident and Family","English, French, Filipino, German","","25 Oct 2016","Comox Valley Seniors Village","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","2.2","3","1.5","0.0","0","0.7","0.7","1","11.9","12.5","17","0.1","0.0","0","0.2","0.0","0","1.6","2.2","3","1.6","0.0","0","","Scheduled as needed","2009","Retirement Concepts","Yes","(250) 331-1183","(250) 331-4102","","Routine","Community Care and Assisted Living Act","0","128","4","Clothing labelling fee","Yes","No","No","4640 Headquarters Rd.","3.14","Yes (no fee)"
"Accredited","Yes (Apr 2018)","0","10","","10","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.0%","45.0%","Info not available","Info not available","Info not available","9.1%","25.4%","","","","","","","","Alert Bay, BC V0N 1A0","Info not available","","Info not available","","Clinical Nurse Leader","Combined Resident and Family","English, Kwakwala","07 Jul 2016","","Cormorant Island Health Centre","Yes","Operator","0.75","3.05","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","1","Scheduled as needed","2000","Vancouver Island Health","Yes","(250) 974-5585","(250) 974-5585 ext 66323","Routine","","Hospital Act","0","10","0"," ","No","No","No","49 School Road","3.79","Yes (no fee)"
